TIME s, IN1D,IN2D,TIME sT,IN1T, IN2T
473.633,-0.733768,0.035913,473.633,-0.733768,-0.105155
468.75,-0.742333,0.024803,468.75,-0.742333,-0.10593
463.867,-0.750898,0.021186,463.867,-0.750898,-0.09973
458.984,-0.756609,0.019119,458.984,-0.756609,-0.10438
454.102,-0.768029,0.005167,454.102,-0.765174,-0.107997
449.219,-0.773739,-0.001292,449.219,-0.770884,-0.102572
444.336,-0.782305,0.001033,444.336,-0.77945,-0.101796
439.453,-0.79087,-0.013177,439.453,-0.78516,-0.107997
434.57,-0.79658,-0.018861,434.57,-0.79658,-0.106447
429.688,-0.805146,-0.020669,429.688,-0.805146,-0.102055
424.805,-0.813711,-0.025062,424.805,-0.813711,-0.107739
419.922,-0.822277,-0.034621,419.922,-0.819421,-0.109806
415.039,-0.827987,-0.039788,415.039,-0.827987,-0.103347
410.156,-0.839407,-0.038497,410.156,-0.836552,-0.105155
405.273,-0.845118,-0.050898,405.273,-0.842262,-0.110323
400.391,-0.853683,-0.055549,400.391,-0.850828,-0.10593
395.508,-0.859393,-0.054515,395.508,-0.859393,-0.103863
390.625,-0.867959,-0.06175,390.625,-0.867959,-0.109547
385.742,-0.873669,-0.068467,385.742,-0.873669,-0.110839
380.859,-0.882234,-0.070792,380.859,-0.882234,-0.104639
375.977,-0.893655,-0.070276,375.977,-0.893655,-0.108256
371.094,-0.899365,-0.081386,371.094,-0.899365,-0.111873
366.211,-0.90793,-0.085519,366.211,-0.90793,-0.106705
361.328,-0.913641,-0.081644,361.328,-0.913641,-0.105672
356.445,-0.922206,-0.091979,356.445,-0.922206,-0.111356
351.563,-0.930771,-0.095854,351.563,-0.930771,-0.111098
346.68,-0.939337,-0.096629,346.68,-0.939337,-0.105155
341.797,-0.945047,-0.096888,341.797,-0.945047,-0.110581
336.914,-0.950757,-0.105672,336.914,-0.953612,-0.113165
332.031,-0.962178,-0.108256,332.031,-0.962178,-0.106705
327.148,-0.967888,-0.103605,327.148,-0.965033,-0.106964
322.266,-0.973598,-0.114715,322.266,-0.973598,-0.112648
317.383,-0.985019,-0.117815,317.383,-0.985019,-0.108772
312.5,-0.990729,-0.114973,312.5,-0.990729,-0.106705
307.617,-0.996439,-0.117557,307.617,-0.999294,-0.111614
302.734,-1.005005,-0.123499,302.734,-1.005005,-0.113681
297.852,-1.01357,-0.125308,297.852,-1.01357,-0.106964
292.969,-1.022135,-0.122207,292.969,-1.022135,-0.110064
288.086,-1.030701,-0.131767,288.086,-1.030701,-0.114715
