TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
1.182,0.394008,0.753914,1.182,0.394008,0.388584
1.177,0.385442,0.76089,1.177,0.385442,0.373598
1.172,0.376877,0.74978,1.172,0.379732,0.367656
1.167,0.368311,0.729628,1.167,0.371166,0.360422
1.162,0.362601,0.735828,1.162,0.362601,0.343886
1.157,0.354036,0.719034,1.157,0.354036,0.333551
1.152,0.348325,0.70715,1.152,0.348325,0.328642
1.147,0.33976,0.69449,1.147,0.33976,0.314949
1.143,0.331195,0.68803,1.143,0.33405,0.299705
1.138,0.322629,0.675629,1.138,0.325484,0.296863
1.133,0.316919,0.654184,1.133,0.316919,0.28782
1.128,0.308354,0.65496,1.128,0.308354,0.270252
1.123,0.299788,0.638424,1.123,0.296933,0.265084
1.118,0.291223,0.620597,1.118,0.294078,0.26095
1.113,0.285513,0.611037,1.113,0.282658,0.246999
1.108,0.274092,0.598119,1.108,0.276947,0.23408
1.104,0.268382,0.584425,1.104,0.268382,0.233305
1.099,0.262672,0.564273,1.099,0.262672,0.22297
1.094,0.251251,0.559881,1.094,0.254106,0.208244
1.089,0.245541,0.543862,1.089,0.245541,0.205143
1.084,0.236976,0.523451,1.084,0.236976,0.201268
1.079,0.231265,0.517509,1.079,0.22841,0.186799
1.074,0.219845,0.502523,1.074,0.2227,0.179306
1.069,0.21699,0.485471,1.069,0.21699,0.178273
1.064,0.205569,0.468677,1.064,0.205569,0.166905
1.06,0.199859,0.462735,1.06,0.199859,0.155537
1.055,0.191293,0.446458,1.055,0.191293,0.155278
1.05,0.179873,0.426305,1.05,0.185583,0.149853
1.045,0.174163,0.421396,1.045,0.174163,0.136934
1.04,0.165597,0.408219,1.04,0.165597,0.133834
1.035,0.159887,0.390134,1.035,0.159887,0.132284
1.03,0.151322,0.378249,1.03,0.151322,0.120916
1.025,0.142756,0.369981,1.025,0.145611,0.111873
1.021,0.134191,0.352929,1.021,0.137046,0.113423
1.016,0.128481,0.336393,1.016,0.128481,0.106705
1.011,0.12277,0.332001,1.011,0.12277,0.095854
1.006,0.114205,0.319341,1.006,0.114205,0.094562
1.001,0.10564,0.300222,1.001,0.10564,0.093787
996.094,0.097074,0.293246,996.094,0.097074,0.082677
991.211,0.088509,0.284978,991.211,0.088509,0.076477
986.328,0.082799,0.26741,986.328,0.082799,0.07906
981.445,0.074233,0.255525,981.445,0.077088,0.071051
976.563,0.068523,0.251132,976.563,0.068523,0.061491
971.68,0.057103,0.236147,971.68,0.057103,0.0633
966.797,0.051392,0.223229,966.797,0.051392,0.061491
961.914,0.042827,0.218061,961.914,0.042827,0.051157
957.031,0.037117,0.21031,957.031,0.037117,0.048315
952.148,0.025696,0.193517,952.148,0.028551,0.049348
947.266,0.019986,0.184474,947.266,0.019986,0.041855
